Name,total_points_earned,finish_time_sum_hours,finish_distinct_map_count,finish_map_count,finish_points_total,finish_race_point,finish_solo_point,finish_ddmax_point,finish_dummy_point,finish_brutal_point,finish_insane_point,finish_novice_point,finish_moderate_point,finish_oldschool_point,finish_fun_point,finish_race_new_map_count,finish_solo_new_map_count,finish_ddmax_new_map_count,finish_dummy_new_map_count,finish_brutal_new_map_count,finish_insane_new_map_count,finish_novice_new_map_count,finish_moderate_new_map_count,finish_oldschool_new_map_count,finish_fun_new_map_count,finish_fun_map_count,finish_race_map_count,finish_solo_map_count,finish_ddmax_map_count,finish_dummy_map_count,finish_brutal_map_count,finish_insane_map_count,finish_novice_map_count,finish_moderate_map_count,finish_oldschool_map_count,most_finished_map_2021,map_finished_count,most_finished_map_2021_spend_minues
KuNao,14489,717.69157777777764,890,956,15505,36,1284,2256,1820,6060,258,84,1641,1050,0,8,127,171,87,269,7,21,131,67,2,0,36,1380,2304,2175,6273,444,127,1716,1050,Bullseye,7,381.01166666666666
猫猫,13592,987.317961111112,1340,1790,16466,340,2156,3304,1065,1896,38,482,3501,810,0,85,244,320,65,95,1,146,303,77,4,0,390,2608,3536,1540,1935,38,965,4638,816,lumine,19,126.83166666666666
wink,12785,964.404605555556,1082,1419,15924,184,896,3020,915,3309,0,290,3463,708,0,50,121,249,56,159,0,84,289,69,5,0,190,1100,3452,1210,3657,0,489,5010,816,NUT_short_race6,21,2.4233333333333333
被强煎的蛋,12713,1029.1190777777772,1275,1701,15316,190,2084,3196,1320,1449,0,490,3294,690,0,61,240,313,78,75,0,149,288,70,1,0,196,2456,3340,1755,1710,0,1102,4001,756,NUT_short_race6,34,2.472666666666667
满月,12673,973.14601111111119,1114,1327,13952,356,1452,3104,830,2802,68,214,3121,726,0,84,166,282,49,135,2,62,263,67,4,0,388,1880,3340,860,2898,68,265,3407,846,NUT_short_race6,41,9.1576666666666675
顾慌,12524,764.28612222222284,850,1060,14861,62,580,2124,935,5706,144,132,2145,696,0,19,69,169,53,259,4,39,179,58,1,0,62,696,2304,1080,6663,144,153,3003,756,run_g6,33,3.6863333333333332
绝对白给,12494,905.82546111111139,1100,1376,13928,96,1108,3120,745,3462,38,357,2824,744,0,29,148,291,48,162,1,110,248,62,1,0,110,1460,3352,795,3540,38,462,3391,780,run_g6,54,5.862
Nurxil,12361,735.03910555555569,910,1021,13349,86,996,2524,410,4452,72,164,2667,990,0,22,115,202,27,204,2,44,225,68,1,0,92,1280,2612,460,4605,72,227,2975,1026,Firewatch,6,36.687
歪比巴卜,11207,664.573761111111,830,1162,14352,126,1228,1984,765,3672,148,170,2100,1014,0,33,135,151,42,169,4,51,172,69,4,0,140,1836,2028,1000,4341,148,391,3424,1044,Buckle Up,48,14.272333333333332
黑化窜天猴,11008,1181.8422444444434,1094,1373,12745,146,688,3176,360,2577,0,495,3212,354,0,50,104,309,27,128,0,150,280,43,3,0,148,932,3456,375,2736,0,821,3893,384,NUT_short_race6,10,0.88233333333333341
我就蹭蹭,10873,1152.4839111111114,1079,1274,11939,18,752,3520,530,1329,0,495,3713,516,0,8,108,332,37,69,0,150,319,55,1,0,26,944,3796,560,1329,0,791,3959,534,Jajpack,15,2.7633333333333336
mememe,10827,610.18782777777756,899,1071,12461,308,1132,2284,715,3423,0,126,2449,390,0,75,132,210,42,161,0,33,205,38,3,0,320,1308,2436,910,3915,0,143,3021,408,run_g6,42,4.7396666666666656
lock,10471,646.030827777778,898,1083,11908,196,1192,2476,815,2199,72,184,2611,726,0,51,141,211,51,109,2,50,217,64,2,0,230,1320,2672,1015,2352,72,211,3280,756,DontMove,40,40.24
美味,10434,848.82837222222258,1027,1250,11996,44,496,3204,665,1473,0,487,3207,858,0,17,74,310,44,75,0,148,279,78,2,0,48,520,3596,665,1494,0,822,3903,948,lumine,9,340.50566666666668
zattttt,10260,664.89270555555538,947,1318,12656,216,2900,2320,495,1230,0,209,1942,948,0,59,298,204,32,62,0,59,166,66,1,0,250,4572,2564,625,1230,0,262,2169,984,DontMove,75,74.646333333333345
杨帆,9967,826.33995000000016,996,1438,11987,454,1036,2648,415,867,0,374,2295,1878,0,101,133,248,27,43,0,108,201,131,4,0,1022,1544,2968,445,867,0,533,2658,1950,NUT_short_race6,18,0.966333333333333
zff,9955,707.52874444444467,919,989,10353,192,1996,1720,825,756,0,148,2956,1362,0,58,221,163,50,39,0,44,250,94,0,0,196,2108,1776,825,756,0,161,3151,1380,NUT_short_race6,15,1.0963333333333334
青迎月,9828,1054.9048222222225,920,1231,11863,12,208,2852,260,2592,0,486,3166,252,0,5,38,276,19,129,0,148,276,29,0,0,14,288,3128,260,2775,0,828,4288,282,NUT_short_race6,38,2.306
